Model size,Filename,Average Score,Pass Rate
37B,claude-3-7-sonnet-20250219,0.7293,0.5948
12b,claude-3.5-sonnet,0.7364,0.6204
27b,claude-sonnet-4-20250514,0.7985,0.6667
4b,deepseek-chat-v3.1,0.7266,0.5888
8b,deepseek-r1-0528,0.2952,0.2336
405b,devstral-medium,0.7167,0.5
24b,devstral-small,0.6671,0.4815
30b,gemini-2.5-flash,0.7184,0.5278
Unknown,gemini-2.5-pro,0.709,0.5566
4b,gemma-3-12b-it,0.3976,0.243
14b,gemma-3-27b-it,0.465,0.465
17B,gemma-3n-e4b-it,0.5162,0.3208
,glm-4.5,0.3817,0.2991
,gpt-4o,0.6962,0.5278
24b,gpt-4o-mini,0.7065,0.5
20b,gpt-5,0.7169,0.5185
8b,gpt-5-high,0.7289,0.5556
Unknown,gpt-5-mini,0.7117,0.5185
Unknown,gpt-5-nano,0.6704,0.4722
Unknown,gpt-o3-mini,0.78,0.6389
Unknown,gpt-o3-mini-high,0.7321,0.5234
17B,gpt-o4-mini,0.7282,0.5755
Unknown,gpt-o4-mini-high,0.7385,0.5833
,gpt-oss-120b,0.5817,0.4259
Unknown,gpt-oss-20b,0.6886,0.4815
Unknown,grok-4-fast,0.6926,0.5185
Unknown,grok-code-fast-1,0.7238,0.5283
,kimi-k2-0905,0.7299,0.5741
Unknown,llama-3.1-405b-instruct,0.5916,0.4259
72b,llama-3.3-70b-instruct:free,0.7123,0.5472
32b,llama-3.3-8b-instruct:free,0.5267,0.3519
70b,llama-4-maverick,0.6902,0.5185
Unknown,llama-4-scout,0.6391,0.4673
Unknown,mistral-small-3.2-24b-instruct,0.6167,0.4352
Unknown,mistralai-codestral-2508,0.6089,0.4444
Unknown,qwen-2.5-72b-instruct:free,0.7133,0.537
Unknown,qwen-2.5-coder-32b-instruct,0.715,0.5377
37B,qwen-qwen3-14b,0.6642,0.463
Unknown,qwen-qwen3-4b,0.6195,0.4579
Unknown,qwen3-30b-a3b,0.609,0.4352
Unknown,qwen3-8b,0.634,0.4907
,qwen3-coder,0.6475,0.5047
Unknown,qwen3-coder-flash,0.7161,0.5648
,,,
,,,
,bold = run on complete,italics = interesting to see if there is time,
