Model,Model Size,Pass Rate (All),Pass Rate (Easy),Pass Rate (Hard)
claude-3.5-sonnet,12b,0.5907,0.8678,0.2571
claude-3.7-sonnet,37B,0.5926,0.9085,0.2122
claude-sonnet-4,27b,0.6481,0.9356,0.3020
claude-sonnet-4.5,Unknown,0.5981,0.9356,0.1918
deepseek-chat-v3.1,4b,0.5426,0.8102,0.2204
deepseek-r1-0528,8b,0.4444,0.6949,0.1429
devstral-medium,405b,0.4111,0.6746,0.0939
devstral-small,24b,0.3667,0.6034,0.0816
gemini-2.5-flash,30b,0.5185,0.7419,0.2174
gemini-2.5-pro,Unknown,0.5130,0.7559,0.2204
gemma-3-12b-it,4b,0.3000,0.4949,0.0653
gemma-3-27b-it,14b,0.3704,0.5898,0.1061
gemma-3n-e4b-it,17B,0.2926,0.4780,0.0694
glm-4.5,Unknown,0.2907,0.4576,0.0898
glm-4.6,Unknown,0.5648,0.8508,0.2204
gpt-4o,Unknown,0.5333,0.8136,0.1959
gpt-4o-mini,24b,0.4778,0.7661,0.1306
gpt-5,20b,0.4926,0.7186,0.2204
gpt-5-high,8b,0.5278,0.7729,0.2327
gpt-5-mini,Unknown,0.5407,0.8271,0.1959
gpt-5-nano,Unknown,0.4574,0.7186,0.1429
gpt-o3-mini,Unknown,0.5630,0.8678,0.1959
gpt-o3-mini-high,Unknown,0.5278,0.8373,0.1551
gpt-o4-mini,17B,0.5278,0.8508,0.1388
gpt-o4-mini-high,Unknown,0.5370,0.8508,0.1592
gpt-oss-120b,Unknown,0.4130,0.6441,0.1347
gpt-oss-20b,Unknown,0.4815,0.7593,0.1469
grok-4-fast,Unknown,0.5204,0.8305,0.1469
grok-code-fast-1,Unknown,0.5093,0.8068,0.1510
kimi-dev-72b,72b,0.3167,0.5322,0.0571
kimi-k2-0905,Unknown,0.5648,0.8441,0.2286
llama-3.1-405b-instruct,Unknown,0.4870,0.7661,0.1510
llama-3.1-8b-instruct,32b,0.3407,0.5492,0.0898
llama-3.3-70b-instruct,72b,0.4963,0.7932,0.1388
llama-4-maverick,70b,0.4944,0.7729,0.1592
llama-4-scout,Unknown,0.4333,0.6915,0.1224
mistral-small-3.2-24b-instruct,Unknown,0.4630,0.7254,0.1469
mistralai-codestral-2508,Unknown,0.4481,0.7085,0.1347
qwen-2.5-72b-instruct,Unknown,0.4519,0.7322,0.1143
qwen-2.5-coder-32b-instruct,Unknown,0.4000,0.6373,0.1143
qwen3-14b,37B,0.4593,0.7898,0.0612
qwen3-30b-a3b,Unknown,0.4315,0.7254,0.0776
qwen3-coder,Unknown,0.5389,0.8169,0.2041
qwen3-coder-flash,Unknown,0.5074,0.7627,0.2000
