Model,Model Size,Pass Rate (All),Pass Rate (Easy),Pass Rate (Hard)
claude-3.5-sonnet,12b,0.6389,0.9032,0.2826
claude-3.7-sonnet,37B,0.6204,0.9194,0.2174
claude-sonnet-4,27b,0.6667,0.9677,0.2609
claude-sonnet-4.5,Unknown,0.6019,0.9194,0.1739
deepseek-chat-v3.1,4b,0.5926,0.8065,0.3043
deepseek-r1-0528,8b,0.4167,0.6290,0.1304
devstral-medium,405b,0.5000,0.7742,0.1304
devstral-small,24b,0.4815,0.7258,0.1522
gemini-2.5-flash,30b,0.5185,0.7419,0.2174
gemini-2.5-pro,Unknown,0.5463,0.7903,0.2174
gemma-3-12b-it,4b,0.2315,0.3548,0.0652
gemma-3-27b-it,14b,0.2963,0.4516,0.0870
gemma-3n-e4b-it,17B,0.3148,0.5161,0.0435
glm-4.5,Unknown,0.2963,0.4516,0.0870
glm-4.6,Unknown,0.5556,0.7903,0.2391
gpt-4o,Unknown,0.5370,0.7581,0.2391
gpt-4o-mini,24b,0.5000,0.7903,0.1087
gpt-5,20b,0.5185,0.7419,0.2174
gpt-5-high,8b,0.5648,0.8226,0.2174
gpt-5-mini,Unknown,0.5278,0.7903,0.1739
gpt-5-nano,Unknown,0.4722,0.7258,0.1304
gpt-o3-mini,Unknown,0.6296,0.9355,0.2174
gpt-o3-mini-high,Unknown,0.5370,0.8548,0.1087
gpt-o4-mini,17B,0.5741,0.8710,0.1739
gpt-o4-mini-high,Unknown,0.5926,0.9032,0.1739
gpt-oss-120b,Unknown,0.4444,0.7097,0.0870
gpt-oss-20b,Unknown,0.5000,0.7742,0.1304
grok-4-fast,Unknown,0.5278,0.8226,0.1304
grok-code-fast-1,Unknown,0.5370,0.8065,0.1739
kimi-dev-72b,72b,0.3333,0.5484,0.0435
kimi-k2-0905,Unknown,0.5833,0.8871,0.1739
llama-3.1-405b-instruct,Unknown,0.4815,0.7581,0.1087
llama-3.1-8b-instruct,32b,0.3796,0.5645,0.1304
llama-3.3-70b-instruct,72b,0.5185,0.8065,0.1304
llama-4-maverick,70b,0.5093,0.7419,0.1957
llama-4-scout,Unknown,0.4537,0.6935,0.1304
mistral-small-3.2-24b-instruct,Unknown,0.4352,0.6613,0.1304
mistralai-codestral-2508,Unknown,0.4352,0.6452,0.1522
qwen-2.5-72b-instruct,Unknown,0.5370,0.8065,0.1739
qwen-2.5-coder-32b-instruct,Unknown,0.5370,0.7903,0.1957
qwen3-14b,37B,0.4722,0.7903,0.0435
qwen3-30b-a3b,Unknown,0.4352,0.7258,0.0435
qwen3-coder,Unknown,0.5556,0.8065,0.2174
qwen3-coder-flash,Unknown,0.5185,0.7097,0.2609
